n,positive,tp,fp,tn,fn,brier,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,subtype,model,seed,n_positive_events
554,13,9,348,193,4,0.049368940291469585,0.6923076923076923,0.3567467652495379,0.025210084033613446,0.9796954314720813,0.04864864864864865,0.07913278318252702,0.6168064837196076,T21,overall_logit_z_quality,2027,13
554,13,10,472,69,3,,0.7692307692307693,0.12754158964879853,0.02074688796680498,0.9583333333333334,0.040404040404040394,0.025593732384503652,0.4925351912412911,T21,rule_z_own,2028,13
554,13,8,364,177,5,0.0211622879965257,0.6153846153846154,0.32717190388170053,0.021505376344086023,0.9725274725274725,0.041558441558441565,0.15027459119941836,0.48130243139485285,T21,logit_z_quality,2028,13
554,13,8,202,339,5,0.02191106522036861,0.6153846153846154,0.6266173752310537,0.0380952380952381,0.9854651162790697,0.07174887892376683,0.11370622533417779,0.5895066116877578,T21,logit_all,2028,13
554,13,8,327,214,5,0.04643500270433325,0.6153846153846154,0.3955637707948244,0.023880597014925373,0.9771689497716894,0.04597701149425287,0.0841699352786698,0.5782738518413195,T21,overall_logit_z_quality,2028,13
554,13,10,478,63,3,,0.7692307692307693,0.11645101663585952,0.020491803278688523,0.9545454545454546,0.03992015968063872,0.025593732384503652,0.4925351912412911,T21,rule_z_own,2029,13
554,13,7,344,197,6,0.021138217078298792,0.5384615384615384,0.36414048059149723,0.019943019943019943,0.9704433497536946,0.038461538461538464,0.15149127494794953,0.5084601165932034,T21,logit_z_quality,2029,13
554,13,9,219,322,4,0.022379338224418364,0.6923076923076923,0.5951940850277264,0.039473684210526314,0.9877300613496932,0.07468879668049792,0.11172494560363416,0.615811175885113,T21,logit_all,2029,13
554,13,8,336,205,5,0.0483673094068699,0.6153846153846154,0.3789279112754159,0.023255813953488372,0.9761904761904762,0.04481792717086834,0.128907437554325,0.5988909426987061,T21,overall_logit_z_quality,2029,13
554,13,11,488,53,2,,0.8461538461538461,0.09796672828096119,0.022044088176352707,0.9636363636363636,0.04296875,0.025593732384503652,0.4925351912412911,T21,rule_z_own,2030,13
554,13,6,339,202,7,0.020871699139504013,0.46153846153846156,0.3733826247689464,0.017391304347826087,0.9665071770334929,0.0335195530726257,0.17024224070082658,0.38006540594340965,T21,logit_z_quality,2030,13
554,13,6,208,333,7,0.021816497798547017,0.46153846153846156,0.6155268022181146,0.028037383177570093,0.9794117647058823,0.05286343612334801,0.13842335047468177,0.48770083890231763,T21,logit_all,2030,13
554,13,8,322,219,5,0.04741836104864772,0.6153846153846154,0.4048059149722736,0.024242424242424242,0.9776785714285714,0.0466472303206997,0.07055915557880343,0.535475614958055,T21,overall_logit_z_quality,2030,13
